id,code,uic,name_short,name_medium,name_long,slug,country,type,geo_lat,geo_lng,province
631,ENHF,8023783,Münster N,Münster Nord,Münster Zentrum Nord,munster-zentrum-nord,D,stoptreinstation,51.984987,7.63861,
632,ENBE,8021147,Münster-H,Münster-Häger,Münster-Häger,munster-hager,D,stoptreinstation,52.022327,7.562668,
350,NDB,8400452,Naarden-Bu,Naarden-Bussum,Naarden-Bussum,naarden-bussum,NL,knooppuntStoptreinstation,52.2802772522,5.1569442749,Noord-Holland
351,NEUSS,8015149,Neuss,Neuss Hbf,Neuss Hbf,neuss-hbf,D,stoptreinstation,51.20444,6.68468,
713,LNI,8824240,Niel,Niel,Niel,niel,B,stoptreinstation,51.11154,4.33845,
349,,8400454,Nw A'dam,Nieuw Amsterdam,Nieuw Amsterdam,nieuw-amsterdam,NL,sneltreinstation,52.7186126709,6.84861087799,Drenthe
364,NVP,8400460,Nw Vennep,Nieuw Vennep,Nieuw Vennep,nieuw-vennep,NL,stoptreinstation,52.2588882446,4.64555549622,Noord-Holland
365,NWK,8400455,Nieuwerkrk,Nieuwerkerk,Nieuwerkerk a/d IJssel,nieuwerkerk-a-d-ijssel,NL,stoptreinstation,51.9652786255,4.61694431305,Zuid-Holland
790,FNU,8894714,Nieuwkerke,Nieuwkerken-Waas,Nieuwkerken-Waas,nieuwkerken-waas,B,stoptreinstation,51.185556,4.185832,
354,NKK,8400469,Nijkerk,Nijkerk,Nijkerk,nijkerk,NL,stoptreinstation,52.2222213745,5.49388885498,Gelderland
355,NM,8400470,Nijmegen,Nijmegen,Nijmegen,nijmegen,NL,knooppuntIntercitystation,51.8436126709,5.85222244263,Gelderland
356,NMD,8400475,Dukenburg,Dukenburg,Nijmegen Dukenburg,nijmegen-dukenburg,NL,stoptreinstation,51.8241653442,5.79555559158,Gelderland
762,NMGO,8400477,Goffert,Nijmegen Goffert,Nijmegen Goffert,nijmegen-goffert,NL,stoptreinstation,51.8273,5.822722,Gelderland
357,NMH,8400468,Heyendaal,Nm Heyendaal,Nijmegen Heyendaal,nijmegen-heyendaal,NL,stoptreinstation,51.8269462585,5.86749982834,Gelderland
358,NML,8400451,Lent,Nijmegen Lent,Nijmegen Lent,nijmegen-lent,NL,stoptreinstation,51.861811,5.859686,Gelderland
362,NVD,8400472,Nijverdal,Nijverdal,Nijverdal,nijverdal,NL,stoptreinstation,52.36555,6.471111,Overijssel
771,NDKP,8821105,N.kempen,Noorderkempen,Noorderkempen,noorderkempen,B,stoptreinstation,51.3573,4.63273,
633,ENOW,8021149,Nordwalde,Nordwalde,Nordwalde,nordwalde,D,stoptreinstation,52.077618,7.461706,
360,NS,8400466,Nunspeet,Nunspeet,Nunspeet,nunspeet,NL,stoptreinstation,52.3708343506,5.78527784348,Gelderland
693,NURNB,8022194,Nürnberg,Nürnberg Hbf,Nürnberg Hbf,nurnberg-hbf,D,intercitystation,49.4449634,11.0826087,
352,NH,8400467,Nuth,Nuth,Nuth,nuth,NL,stoptreinstation,50.9194450378,5.89277791977,Limburg
368,OBD,8400480,Obdam,Obdam,Obdam,obdam,NL,stoptreinstation,52.6780548096,4.90722227097,Noord-Holland
369,OBERH,8010263,Oberhausen,Oberhausen Hbf,Oberhausen Hbf,oberhausen-hbf,D,stoptreinstation,51.47512,6.852038,
808,OBERHS,8010266,Ob-Sterkr,Oberh-Sterkrade,Oberhausen-Sterkrade,oberhausen-sterkrade,D,stoptreinstation,51.512222,6.843611,
634,EOP,8021152,Ochtrup,Ochtrup,Ochtrup,ochtrup,D,stoptreinstation,52.201703,7.182643,
635,RO,8014309,Offenburg,Offenburg,Offenburg,offenburg,D,sneltreinstation,48.476475,7.946723,
380,OT,8400482,Oisterwijk,Oisterwijk,Oisterwijk,oisterwijk,NL,stoptreinstation,51.5822219849,5.19416666031,Noord-Brabant
372,ODZ,8400483,Oldenzaal,Oldenzaal,Oldenzaal,oldenzaal,NL,stoptreinstation,52.306388855,6.93472242355,Overijssel
379,OST,8400486,Olst,Olst,Olst,olst,NL,stoptreinstation,52.3347206116,6.11305570602,Overijssel
376,OMN,8400487,Ommen,Ommen,Ommen,ommen,NL,knooppuntSneltreinstation,52.5094451904,6.41583347321,Overijssel
381,OTB,8400489,Oosterbeek,Oosterbeek,Oosterbeek,oosterbeek,NL,stoptreinstation,51.9949989319,5.84000015259,Gelderland
377,OP,8400494,Opheusden,Opheusden,Opheusden,opheusden,NL,stoptreinstation,51.9261615,5.6371145,Gelderland
378,OSNH,8021025,Osnabrück,Osnabrück Hbf,Osnabrück Hbf,osnabruck-hbf,D,megastation,52.272851,8.061781,
367,O,8400495,Oss,Oss,Oss,oss,NL,knooppuntIntercitystation,51.7655563354,5.53222227097,Noord-Brabant
383,OW,8400496,Oss W,Oss West,Oss West,oss-west,NL,stoptreinstation,51.7580566406,5.50555562973,Noord-Brabant
678,OETZ,8101204,Ötztal,Ötztal,Ötztal,otztal,A,intercitystation,47.23848,10.85911,
371,ODB,8400498,Oudenbosch,Oudenbosch,Oudenbosch,oudenbosch,NL,stoptreinstation,51.5877761841,4.53333330154,Noord-Brabant
382,OVN,8400501,Overveen,Overveen,Overveen,overveen,NL,stoptreinstation,52.3911094666,4.60611104965,Noord-Holland
385,PARIS,8727100,Paris-Nord,Paris-Nord,Paris-Nord,paris-nord,F,megastation,48.87977,2.35575,
638,TP,8029060,Plochingen,Plochingen,Plochingen,plochingen,D,sneltreinstation,48.71308,9.41081,
